timestamp,price,market_cap,volume_24h,circulating_supply,price_change_24h,bullish_sentiment,bearish_sentiment
2025-10-27 05:45:17,"$115,300.94",$2.29T,$58.7B,19.94M BTC,2.65% (24h),82%,18%
2025-10-27 05:56:43,"$115,259.53",$2.29T,$59.31B,19.94M BTC,2.43% (24h),82%,18%
2025-10-27 06:21:05,"$115,506.68",$2.3T,$59.33B,19.94M BTC,2.77% (24h),82%,18%
2025-10-27 06:43:56,"$115,455.08",$2.3T,$59.46B,19.94M BTC,2.7% (24h),82%,18%
2025-10-27 06:56:58,"$115,420.21",$2.3T,$59.26B,19.94M BTC,2.6% (24h),82%,18%
2025-10-27 07:15:42,"$115,435.44",$2.3T,$59.53B,19.94M BTC,2.59% (24h),82%,18%
2025-10-27 07:32:21,"$115,318.52",$2.29T,$58.69B,19.94M BTC,2.3% (24h),82%,18%
2025-10-27 07:43:28,"$115,482.80",$2.3T,$58.37B,19.94M BTC,2.19% (24h),82%,18%
2025-10-27 07:56:06,"$115,356.49",$2.3T,$58.55B,19.94M BTC,1.86% (24h),82%,18%
2025-10-27 08:34:21,"$115,178.09",$2.29T,$57.37B,19.94M BTC,1.39% (24h),82%,18%
2025-10-27 09:20:32,"$115,168.76",$2.29T,$56.92B,19.94M BTC,1.53% (24h),82%,18%
2025-10-27 09:47:55,"$114,861.29",$2.29T,$57.34B,19.94M BTC,0.9% (24h),82%,18%
2025-10-27 09:58:41,"$115,244.59",$2.29T,$58.12B,19.94M BTC,1.34% (24h),82%,18%
2025-10-27 10:23:01,"$114,634.09",$2.28T,$57.4B,19.94M BTC,0.76% (24h),82%,18%
2025-10-27 10:40:11,"$114,953.35",$2.29T,$58.09B,19.94M BTC,0.98% (24h),82%,18%
2025-10-27 10:50:22,"$114,852.34",$2.29T,$58.11B,19.94M BTC,0.93% (24h),82%,18%
2025-10-27 11:00:22,"$114,797.96",$2.28T,$58.26B,19.94M BTC,1.09% (24h),82%,18%
2025-10-27 11:23:54,"$115,023.93",$2.29T,$60.1B,19.94M BTC,1.34% (24h),82%,18%
2025-10-27 11:39:38,"$115,018.01",$2.29T,$60.85B,19.94M BTC,1.34% (24h),82%,18%
2025-10-27 11:49:39,"$114,974.57",$2.29T,$61.05B,19.94M BTC,1.29% (24h),82%,18%
2025-10-27 11:58:14,"$114,955.38",$2.29T,$61.03B,19.94M BTC,1.12% (24h),82%,18%
2025-10-27 12:25:48,"$115,206.01",$2.29T,$60.35B,19.94M BTC,1.6% (24h),82%,18%
2025-10-27 12:49:10,"$115,392.90",$2.3T,$61.76B,19.94M BTC,1.49% (24h),82%,18%
2025-10-27 13:00:42,"$115,497.51",$2.3T,$60.98B,19.94M BTC,1.73% (24h),82%,18%
2025-10-27 13:22:43,"$115,471.48",$2.3T,$61.98B,19.94M BTC,1.56% (24h),82%,18%
2025-10-27 13:40:40,"$115,650.42",$2.3T,$61.9B,19.94M BTC,1.79% (24h),82%,18%
2025-10-27 13:49:15,"$115,632.22",$2.3T,$61.38B,19.94M BTC,1.8% (24h),82%,18%
2025-10-27 13:57:40,"$115,637.19",$2.3T,$62.4B,19.94M BTC,1.89% (24h),82%,18%
2025-10-27 14:27:47,"$115,471.81",$2.3T,$62.64B,19.94M BTC,1.69% (24h),82%,18%
2025-10-27 14:50:04,"$115,476.04",$2.3T,$61.74B,19.94M BTC,1.57% (24h),82%,18%
2025-10-27 14:58:38,"$115,366.85",$2.3T,$61.82B,19.94M BTC,1.49% (24h),82%,18%
2025-10-27 15:17:56,"$115,166.37",$2.29T,$62.09B,19.94M BTC,1.44% (24h),82%,18%
2025-10-27 15:29:33,"$115,013.25",$2.29T,$62.14B,19.94M BTC,1.19% (24h),82%,18%
2025-10-27 15:40:14,"$114,959.08",$2.29T,$62.03B,19.94M BTC,1.17% (24h),82%,18%
2025-10-27 15:48:54,"$114,991.85",$2.29T,$62.63B,19.94M BTC,1.21% (24h),82%,18%
2025-10-27 15:57:55,"$114,854.31",$2.29T,$62.89B,19.94M BTC,1.13% (24h),82%,18%
2025-10-27 16:18:11,"$114,792.98",$2.28T,$63.12B,19.94M BTC,1.11% (24h),82%,18%
2025-10-27 16:35:07,"$114,714.84",$2.28T,$63.39B,19.94M BTC,1.11% (24h),82%,18%
2025-10-27 16:47:07,"$114,655.42",$2.28T,$63.41B,19.94M BTC,1.05% (24h),82%,18%
2025-10-27 16:55:58,"$114,608.66",$2.28T,$64.6B,19.94M BTC,1.03% (24h),82%,18%
2025-10-27 17:15:11,"$114,458.42",$2.28T,$63.99B,19.94M BTC,0.92% (24h),82%,18%
2025-10-27 17:31:59,"$114,212.81",$2.27T,$64.25B,19.94M BTC,1.03% (24h),82%,18%
2025-10-27 17:42:27,"$114,346.05",$2.28T,$64.03B,19.94M BTC,0.76% (24h),82%,18%
2025-10-27 17:55:11,"$114,514.57",$2.28T,$65.22B,19.94M BTC,0.91% (24h),82%,18%
2025-10-27 18:15:51,"$114,446.87",$2.28T,$62.74B,19.94M BTC,0.11% (24h),82%,18%
2025-10-27 18:34:31,"$114,318.26",$2.27T,$61.39B,19.94M BTC,0.04% (24h),82%,18%
2025-10-27 18:46:57,"$114,178.20",$2.27T,$60.93B,19.94M BTC,0.37% (24h),82%,18%
2025-10-27 18:55:49,"$114,165.44",$2.27T,$60.95B,19.94M BTC,0.48% (24h),82%,18%
2025-10-27 19:15:45,"$114,030.07",$2.27T,$60.65B,19.94M BTC,0.37% (24h),82%,18%
2025-10-27 19:31:53,"$114,038.78",$2.27T,$60.85B,19.94M BTC,0.34% (24h),82%,18%
2025-10-27 19:41:56,"$114,144.99",$2.27T,$60.82B,19.94M BTC,0.44% (24h),82%,18%
2025-10-27 19:55:28,"$114,166.56",$2.27T,$61.78B,19.94M BTC,0.28% (24h),82%,18%
2025-10-27 21:10:56,"$114,172.97",$2.27T,$59.04B,19.94M BTC,0.54% (24h),82%,18%
