timestamp,price,market_cap,volume_24h,circulating_supply,price_change_24h,bullish_sentiment,bearish_sentiment
2025-10-27 05:45:17,"$115,300.94",$2.29T,$58.7B,19.94M BTC,2.65% (24h),82%,18%
2025-10-27 05:56:43,"$115,259.53",$2.29T,$59.31B,19.94M BTC,2.43% (24h),82%,18%
2025-10-27 06:21:05,"$115,506.68",$2.3T,$59.33B,19.94M BTC,2.77% (24h),82%,18%
2025-10-27 06:43:56,"$115,455.08",$2.3T,$59.46B,19.94M BTC,2.7% (24h),82%,18%
2025-10-27 06:56:58,"$115,420.21",$2.3T,$59.26B,19.94M BTC,2.6% (24h),82%,18%
2025-10-27 07:15:42,"$115,435.44",$2.3T,$59.53B,19.94M BTC,2.59% (24h),82%,18%
2025-10-27 07:32:21,"$115,318.52",$2.29T,$58.69B,19.94M BTC,2.3% (24h),82%,18%
2025-10-27 07:43:28,"$115,482.80",$2.3T,$58.37B,19.94M BTC,2.19% (24h),82%,18%
2025-10-27 07:56:06,"$115,356.49",$2.3T,$58.55B,19.94M BTC,1.86% (24h),82%,18%
2025-10-27 08:34:21,"$115,178.09",$2.29T,$57.37B,19.94M BTC,1.39% (24h),82%,18%
2025-10-27 09:20:32,"$115,168.76",$2.29T,$56.92B,19.94M BTC,1.53% (24h),82%,18%
2025-10-27 09:47:55,"$114,861.29",$2.29T,$57.34B,19.94M BTC,0.9% (24h),82%,18%
2025-10-27 09:58:41,"$115,244.59",$2.29T,$58.12B,19.94M BTC,1.34% (24h),82%,18%
2025-10-27 10:23:01,"$114,634.09",$2.28T,$57.4B,19.94M BTC,0.76% (24h),82%,18%
2025-10-27 10:40:11,"$114,953.35",$2.29T,$58.09B,19.94M BTC,0.98% (24h),82%,18%
2025-10-27 10:50:22,"$114,852.34",$2.29T,$58.11B,19.94M BTC,0.93% (24h),82%,18%
2025-10-27 11:00:22,"$114,797.96",$2.28T,$58.26B,19.94M BTC,1.09% (24h),82%,18%
2025-10-27 11:23:54,"$115,023.93",$2.29T,$60.1B,19.94M BTC,1.34% (24h),82%,18%
2025-10-27 11:39:38,"$115,018.01",$2.29T,$60.85B,19.94M BTC,1.34% (24h),82%,18%
2025-10-27 11:49:39,"$114,974.57",$2.29T,$61.05B,19.94M BTC,1.29% (24h),82%,18%
2025-10-27 11:58:14,"$114,955.38",$2.29T,$61.03B,19.94M BTC,1.12% (24h),82%,18%
2025-10-27 12:25:48,"$115,206.01",$2.29T,$60.35B,19.94M BTC,1.6% (24h),82%,18%
2025-10-27 12:49:10,"$115,392.90",$2.3T,$61.76B,19.94M BTC,1.49% (24h),82%,18%
2025-10-27 13:00:42,"$115,497.51",$2.3T,$60.98B,19.94M BTC,1.73% (24h),82%,18%
2025-10-27 13:22:43,"$115,471.48",$2.3T,$61.98B,19.94M BTC,1.56% (24h),82%,18%
2025-10-27 13:40:40,"$115,650.42",$2.3T,$61.9B,19.94M BTC,1.79% (24h),82%,18%
2025-10-27 13:49:15,"$115,632.22",$2.3T,$61.38B,19.94M BTC,1.8% (24h),82%,18%
2025-10-27 13:57:40,"$115,637.19",$2.3T,$62.4B,19.94M BTC,1.89% (24h),82%,18%
2025-10-27 14:27:47,"$115,471.81",$2.3T,$62.64B,19.94M BTC,1.69% (24h),82%,18%
2025-10-27 14:50:04,"$115,476.04",$2.3T,$61.74B,19.94M BTC,1.57% (24h),82%,18%
2025-10-27 14:58:38,"$115,366.85",$2.3T,$61.82B,19.94M BTC,1.49% (24h),82%,18%
2025-10-27 15:17:56,"$115,166.37",$2.29T,$62.09B,19.94M BTC,1.44% (24h),82%,18%
2025-10-27 15:29:33,"$115,013.25",$2.29T,$62.14B,19.94M BTC,1.19% (24h),82%,18%
2025-10-27 15:40:14,"$114,959.08",$2.29T,$62.03B,19.94M BTC,1.17% (24h),82%,18%
2025-10-27 15:48:54,"$114,991.85",$2.29T,$62.63B,19.94M BTC,1.21% (24h),82%,18%
2025-10-27 15:57:55,"$114,854.31",$2.29T,$62.89B,19.94M BTC,1.13% (24h),82%,18%
2025-10-27 16:18:11,"$114,792.98",$2.28T,$63.12B,19.94M BTC,1.11% (24h),82%,18%
2025-10-27 16:35:07,"$114,714.84",$2.28T,$63.39B,19.94M BTC,1.11% (24h),82%,18%
2025-10-27 16:47:07,"$114,655.42",$2.28T,$63.41B,19.94M BTC,1.05% (24h),82%,18%
2025-10-27 16:55:58,"$114,608.66",$2.28T,$64.6B,19.94M BTC,1.03% (24h),82%,18%
2025-10-27 17:15:11,"$114,458.42",$2.28T,$63.99B,19.94M BTC,0.92% (24h),82%,18%
2025-10-27 17:31:59,"$114,212.81",$2.27T,$64.25B,19.94M BTC,1.03% (24h),82%,18%
2025-10-27 17:42:27,"$114,346.05",$2.28T,$64.03B,19.94M BTC,0.76% (24h),82%,18%
2025-10-27 17:55:11,"$114,514.57",$2.28T,$65.22B,19.94M BTC,0.91% (24h),82%,18%
2025-10-27 18:15:51,"$114,446.87",$2.28T,$62.74B,19.94M BTC,0.11% (24h),82%,18%
2025-10-27 18:34:31,"$114,318.26",$2.27T,$61.39B,19.94M BTC,0.04% (24h),82%,18%
2025-10-27 18:46:57,"$114,178.20",$2.27T,$60.93B,19.94M BTC,0.37% (24h),82%,18%
2025-10-27 18:55:49,"$114,165.44",$2.27T,$60.95B,19.94M BTC,0.48% (24h),82%,18%
2025-10-27 19:15:45,"$114,030.07",$2.27T,$60.65B,19.94M BTC,0.37% (24h),82%,18%
2025-10-27 19:31:53,"$114,038.78",$2.27T,$60.85B,19.94M BTC,0.34% (24h),82%,18%
2025-10-27 19:41:56,"$114,144.99",$2.27T,$60.82B,19.94M BTC,0.44% (24h),82%,18%
2025-10-27 19:55:28,"$114,166.56",$2.27T,$61.78B,19.94M BTC,0.28% (24h),82%,18%
2025-10-27 21:10:56,"$114,172.97",$2.27T,$59.04B,19.94M BTC,0.54% (24h),82%,18%
2025-10-27 22:45:53,"$113,965.47",$2.27T,$57.85B,19.94M BTC,0.93% (24h),82%,18%
2025-10-27 23:34:45,"$113,947.32",$2.27T,$59.11B,19.94M BTC,0.89% (24h),82%,18%
2025-10-27 23:57:51,"$113,902.15",$2.27T,$59.04B,19.94M BTC,0.93% (24h),82%,18%
2025-10-28 00:21:50,"$113,885.95",$2.27T,$57.87B,19.94M BTC,1.12% (24h),82%,18%
2025-10-28 00:42:06,"$113,927.77",$2.27T,$58.97B,19.94M BTC,1.11% (24h),82%,18%
2025-10-28 00:56:46,"$113,999.53",$2.27T,$58.05B,19.94M BTC,1.08% (24h),82%,18%
2025-10-28 01:17:37,"$113,835.14",$2.27T,$58.67B,19.94M BTC,1.38% (24h),82%,18%
2025-10-28 01:37:38,"$113,863.63",$2.27T,$58.33B,19.94M BTC,1.4% (24h),82%,18%
2025-10-28 01:48:52,"$113,743.93",$2.26T,$57.36B,19.94M BTC,1.57% (24h),82%,18%
2025-10-28 01:57:33,"$113,625.39",$2.26T,$57.4B,19.94M BTC,1.67% (24h),82%,18%
2025-10-28 02:28:07,"$113,829.85",$2.26T,$57.82B,19.94M BTC,1.53% (24h),82%,18%
2025-10-28 02:53:10,"$114,148.49",$2.27T,$55.87B,19.94M BTC,1.54% (24h),82%,18%
2025-10-28 03:16:46,"$114,161.39",$2.27T,$54.56B,19.94M BTC,1.51% (24h),82%,18%
2025-10-28 03:33:25,"$114,213.51",$2.27T,$54.58B,19.94M BTC,1.33% (24h),82%,18%
2025-10-28 03:46:11,"$114,246.02",$2.27T,$52.82B,19.94M BTC,1.18% (24h),82%,18%
2025-10-28 03:55:55,"$114,193.23",$2.27T,$53.32B,19.94M BTC,1.18% (24h),82%,18%
2025-10-28 04:23:18,"$114,286.62",$2.27T,$52.49B,19.94M BTC,1.05% (24h),82%,18%
2025-10-28 04:48:55,"$114,438.61",$2.28T,$50.94B,19.94M BTC,0.64% (24h),82%,18%
2025-10-28 05:00:33,"$114,421.76",$2.28T,$50.07B,19.94M BTC,0.5% (24h),82%,18%
2025-10-28 05:28:00,"$114,214.31",$2.27T,$50.1B,19.94M BTC,0.83% (24h),82%,18%
2025-10-28 05:43:29,"$114,465.47",$2.28T,$49.64B,19.94M BTC,0.73% (24h),82%,18%
2025-10-28 05:56:14,"$114,514.24",$2.28T,$49.47B,19.94M BTC,0.64% (24h),82%,18%
2025-10-28 06:19:20,"$114,470.38",$2.28T,$48.13B,19.94M BTC,0.81% (24h),82%,18%
2025-10-28 06:42:38,"$114,440.04",$2.28T,$47.89B,19.94M BTC,0.89% (24h),82%,18%
2025-10-28 06:56:13,"$114,585.39",$2.28T,$48.82B,19.94M BTC,0.74% (24h),82%,18%
2025-10-28 07:14:46,"$114,507.12",$2.28T,$48.78B,19.94M BTC,0.8% (24h),82%,18%
2025-10-28 07:29:32,"$114,517.36",$2.28T,$47.87B,19.94M BTC,0.68% (24h),82%,18%
2025-10-28 07:41:07,"$114,554.06",$2.28T,$48.79B,19.94M BTC,0.78% (24h),82%,18%
2025-10-28 07:58:13,"$114,343.92",$2.28T,$48.93B,19.94M BTC,0.94% (24h),82%,18%
2025-10-28 08:39:38,"$114,273.67",$2.27T,$48.04B,19.94M BTC,0.74% (24h),82%,18%
2025-10-28 09:19:37,"$114,933.17",$2.29T,$47.98B,19.94M BTC,0.21% (24h),82%,18%
2025-10-28 09:46:16,"$115,261.75",$2.29T,$48.84B,19.94M BTC,0.36% (24h),82%,18%
2025-10-28 09:56:49,"$115,440.95",$2.3T,$48.89B,19.94M BTC,0.1% (24h),82%,18%
2025-10-28 10:17:49,"$115,758.65",$2.3T,$49.88B,19.94M BTC,0.9% (24h),82%,18%
2025-10-28 10:41:50,"$115,106.87",$2.29T,$49.88B,19.94M BTC,0.09% (24h),82%,18%
2025-10-28 10:56:59,"$115,191.84",$2.29T,$51.28B,19.94M BTC,0.38% (24h),82%,18%
2025-10-28 11:20:34,"$115,212.00",$2.29T,$52.06B,19.94M BTC,0.14% (24h),82%,18%
2025-10-28 11:42:19,"$114,682.60",$2.28T,$51.26B,19.94M BTC,0.28% (24h),82%,18%
2025-10-28 11:53:25,"$114,828.21",$2.28T,$51.98B,19.94M BTC,0.15% (24h),82%,18%
2025-10-28 12:21:28,"$114,766.44",$2.28T,$51.74B,19.94M BTC,0.37% (24h),82%,18%
2025-10-28 12:48:13,"$115,127.15",$2.29T,$52.86B,19.94M BTC,0.21% (24h),82%,18%
2025-10-28 13:01:08,"$115,356.03",$2.3T,$53.3B,19.94M BTC,0.12% (24h),82%,18%
2025-10-28 13:24:53,"$115,554.31",$2.3T,$53.86B,19.94M BTC,0.15% (24h),82%,18%
2025-10-28 13:42:13,"$115,559.26",$2.3T,$54.88B,19.94M BTC,0.07% (24h),82%,18%
2025-10-28 13:56:10,"$115,361.88",$2.3T,$55.14B,19.94M BTC,0.23% (24h),82%,18%
2025-10-28 14:24:53,"$115,148.13",$2.29T,$55.48B,19.94M BTC,0.36% (24h),82%,18%
2025-10-28 14:52:17,"$114,879.64",$2.29T,$54.94B,19.94M BTC,0.49% (24h),82%,18%
2025-10-28 15:14:33,"$114,931.28",$2.29T,$55.16B,19.94M BTC,0.24% (24h),82%,18%
2025-10-28 15:29:59,"$113,775.23",$2.26T,$55.99B,19.94M BTC,1.07% (24h),82%,18%
2025-10-28 15:40:44,"$114,022.06",$2.27T,$55.54B,19.94M BTC,0.8% (24h),82%,18%
2025-10-28 15:49:48,"$113,876.14",$2.27T,$55.65B,19.94M BTC,0.97% (24h),82%,18%
2025-10-28 15:58:34,"$113,618.24",$2.26T,$55.82B,19.94M BTC,1.07% (24h),82%,18%
2025-10-28 16:23:27,"$112,653.75",$2.24T,$59.26B,19.94M BTC,1.89% (24h),82%,18%
2025-10-28 16:43:34,"$112,849.49",$2.25T,$59.01B,19.94M BTC,1.64% (24h),82%,18%
2025-10-28 16:56:20,"$112,863.60",$2.25T,$60.67B,19.94M BTC,1.51% (24h),82%,18%
2025-10-28 17:15:46,"$112,682.05",$2.24T,$61.27B,19.94M BTC,1.55% (24h),82%,18%
2025-10-28 17:32:21,"$112,823.22",$2.24T,$61.63B,19.94M BTC,1.22% (24h),82%,18%
2025-10-28 17:46:06,"$113,110.20",$2.25T,$61.04B,19.94M BTC,1.07% (24h),82%,18%
2025-10-28 17:56:14,"$113,115.59",$2.25T,$61.2B,19.94M BTC,1.2% (24h),82%,18%
2025-10-28 18:16:34,"$112,901.56",$2.25T,$63.46B,19.94M BTC,1.32% (24h),82%,18%
2025-10-28 18:36:28,"$113,174.06",$2.25T,$63.89B,19.94M BTC,1.01% (24h),82%,18%
2025-10-28 18:48:03,"$113,251.10",$2.25T,$63.19B,19.94M BTC,0.84% (24h),82%,18%
2025-10-28 18:57:05,"$113,247.95",$2.25T,$63.43B,19.94M BTC,0.75% (24h),82%,18%
2025-10-28 19:16:13,"$113,073.83",$2.25T,$63.33B,19.94M BTC,0.8% (24h),82%,18%
2025-10-28 19:32:14,"$112,927.13",$2.25T,$63.33B,19.94M BTC,1% (24h),82%,18%
2025-10-28 19:46:18,"$113,023.85",$2.25T,$64.27B,19.94M BTC,0.98% (24h),82%,18%
2025-10-28 19:56:20,"$112,948.26",$2.25T,$63.61B,19.94M BTC,1.06% (24h),82%,18%
2025-10-28 21:15:59,"$112,363.12",$2.24T,$64.71B,19.94M BTC,1.6% (24h),82%,18%
2025-10-28 22:54:45,"$112,739.15",$2.24T,$66.72B,19.94M BTC,1.02% (24h),82%,18%
2025-10-28 23:46:46,"$112,568.88",$2.24T,$65.96B,19.94M BTC,1.13% (24h),82%,18%
2025-10-29 00:06:07,"$112,568.95",$2.24T,$65.75B,19.94M BTC,1.13% (24h),82%,18%
2025-10-29 00:38:36,"$112,773.72",$2.24T,$64.13B,19.94M BTC,0.95% (24h),82%,18%
2025-10-29 00:53:06,"$112,799.99",$2.24T,$64.79B,19.94M BTC,1.05% (24h),82%,18%
2025-10-29 01:17:10,"$112,998.86",$2.25T,$64.82B,19.94M BTC,0.77% (24h),82%,18%
2025-10-29 01:38:29,"$113,211.02",$2.25T,$65.07B,19.94M BTC,0.58% (24h),82%,18%
